/home/admiral/anaconda3/envs/RLearning/lib/python3.9/site-packages/torch/cuda/__init__.py:182: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
Using device: cpu
Episode  254 | Reward:    5.726 | RPS:  0.115 | Eps: 0.5843 | Steps: 50
Episode  255 | Reward:    5.064 | RPS:  0.101 | Eps: 0.5826 | Steps: 50
Episode  256 | Reward:    1.935 | RPS:  0.039 | Eps: 0.5814 | Steps: 50
Episode  257 | Reward:    8.647 | RPS:  0.173 | Eps: 0.5797 | Steps: 50
Episode  258 | Reward:    2.763 | RPS:  0.055 | Eps: 0.5785 | Steps: 50
Episode  259 | Reward:    5.114 | RPS:  0.102 | Eps: 0.5768 | Steps: 50
Episode  260 | Reward:    6.605 | RPS:  0.132 | Eps: 0.5756 | Steps: 50
Episode  261 | Reward:    4.976 | RPS:  0.100 | Eps: 0.5739 | Steps: 50
Episode  262 | Reward:    6.793 | RPS:  0.136 | Eps: 0.5728 | Steps: 50
Episode  263 | Reward:    9.272 | RPS:  0.185 | Eps: 0.5710 | Steps: 50
Episode  264 | Reward:    4.680 | RPS:  0.094 | Eps: 0.5699 | Steps: 50
Episode  265 | Reward:   18.982 | RPS:  0.380 | Eps: 0.5682 | Steps: 50
Episode  266 | Reward:    3.698 | RPS:  0.074 | Eps: 0.5671 | Steps: 50
Episode  267 | Reward:    4.996 | RPS:  0.100 | Eps: 0.5654 | Steps: 50
Episode  268 | Reward:    6.867 | RPS:  0.137 | Eps: 0.5642 | Steps: 50
Episode  269 | Reward:    4.510 | RPS:  0.090 | Eps: 0.5625 | Steps: 50
Episode  270 | Reward:    7.604 | RPS:  0.152 | Eps: 0.5614 | Steps: 50
Episode  271 | Reward:    7.036 | RPS:  0.141 | Eps: 0.5597 | Steps: 50
Episode  272 | Reward:    4.850 | RPS:  0.097 | Eps: 0.5586 | Steps: 50
Episode  273 | Reward:    6.603 | RPS:  0.132 | Eps: 0.5569 | Steps: 50
